video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
rw_AL6.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL7.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL8.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL9.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL10.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA6.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA7.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA8.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA9.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA10.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_ipad bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone xs window near.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv ipad window far.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone 11 bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la ipad window near.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs walk far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs window near.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone xs bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone xs window far.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
